Journal abbreviation,"<meta name=""citation_journal_abbrev"" content=""eLife Sciences"" />",Content of this tag is wrong on the HW site,
DOI,"<meta name=""citation_doi"" content=""10.7554/eLife.07939"" />",,
PMID,"<meta name=""citation_pmid"" content=""26203003"" />",Add this?,
Volume,"<meta name=""citation_volume"" content=""4"" />",,
Major subject area,"<meta name=""citation_section"" content=""Genes and chromosomes"" />",Only lists the first even if there are two,
eLocation ID,"<meta name=""citation_firstpage"" content=""e07939"" />",,
Author,"<meta name=""citation_author"" content=""Jyothsna Visweswaraiah"" />",,
Affiliation,"<meta name=""citation_author_institution"" content=""Laboratory of Gene Regulation and Development, National Institute of Child Health and Human Development"" />",,
Affiliation,"<meta name=""citation_author_institution"" content=""National Institutes of Health"" />",,
ORCID,"<meta name=""citation_author_orcid"" content=""http://orcid.org/0000-0001-5791-336X"" />",,
Author,"<meta name=""citation_author"" content=""Yvette Pittman"" />",,
Affiliation,"<meta name=""citation_author_institution"" content=""Laboratory of Gene Regulation and Development, National Institute of Child Health and Human Development"" />",,
Affiliation,"<meta name=""citation_author_institution"" content=""National Institutes of Health"" />",,
Author,"<meta name=""citation_author"" content=""Thomas E Dever"" />",,
Affiliation,"<meta name=""citation_author_institution"" content=""Laboratory of Gene Regulation and Development, National Institute of Child Health and Human Development"" />",,
Affiliation,"<meta name=""citation_author_institution"" content=""National Institutes of Health"" />",,
e-mail,"<meta name=""citation_author_email"" content=""Thomas.Dever@nih.gov"" />",,
Author,"<meta name=""citation_author"" content=""Alan G Hinnebusch"" />",,
Affiliation,"<meta name=""citation_author_institution"" content=""Laboratory of Gene Regulation and Development, National Institute of Child Health and Human Development"" />",,
Affiliation,"<meta name=""citation_author_institution"" content=""National Institutes of Health"" />",,
e-mail,"<meta name=""citation_author_email"" content=""ahinnebusch@nih.gov"" />",,
Editor,"<meta name=""citation_editor"" content=""Nahum Sonenberg"" />",,
Affiliation,"<meta name=""citation_editor_institution"" content=""McGill University"" />",,
Reference,"<meta name=""citation_reference"" content=""citation_journal_title=Methods in enzymology;citation_journal_abbrev=Methods Enzymol;citation_author=MG. Acker;citation_author=SE. Kolitz;citation_author=SF. Mitchell;citation_author=JS. Nanda;citation_author=JR. Lorsch;citation_title=Reconstitution of yeast translation initiation.;citation_pages=111-145;citation_volume=430;citation_year=2007;citation_pmid=17913637;citation_doi=10.1016/S0076-6879(07)30006-2"" />",We currently list all references,
XML URL,"<meta name=""citation_xml_url"" content=""http://elifesciences.org/content/4/e07939.source.xml"" />",,
Impact statement/meta-description,"<meta name=""description"" content=""A structural element of mRNA exit channel protein Rps5 performs a critical role in start codon recognition during translation initiation by stabilizing initiator tRNA binding to the pre-initiation complex."" />",,
Free to read marker,"<meta name=""citation_fulltext_world_readable"" content="""">",New: suggested by Google Scholar,
Article language,"<meta name=""citation_language"" content=""Language Name"">",New: suggested by Google Scholar,
,,,
Facebook,"<meta property=""fb:app_id"" content=""1471000156467630"" />",,
Open graph,"<meta property=""og:site_name"" content=""eLife"" />",,
Open graph,"<meta property=""og:url"" content=""http://elifesciences.org/content/4/e07939"" />",,
Open graph,"<meta property=""og:title"" content=""The β-hairpin of 40S exit channel protein Rps5/uS7 promotes efficient and accurate translation initiation in vivo"" />",,
Open graph,"<meta property=""og:image"" content=""http://cdn.elifesciences.org/images/elife_final_logo_rgb.jpg"" />",,
Open graph,"<meta name=""og:type"" content=""article"" />",,
,,,
,,,
,,,
Twitter card,"<meta name=""twitter:image"" content=""https://dfzljdn9uc3pi.cloudfront.net/2015/1127/1/fig-4-small.jpg"">",Do we want to add these?,
Twitter card,"<meta name=""twitter:card"" content=""summary"">",Do we want to add these?,
Twitter card,"<meta name=""twitter:url"" content=""http://elifesciences.org/content/4/e07939"">",Do we want to add these?,
Twitter card,"<meta name=""twitter:site"" content=""@eLife"">",Do we want to add these?,
Twitter card,"<meta name=""twitter:title"" content=""The β-hairpin of 40S exit channel protein Rps5/uS7 promotes efficient and accurate translation initiation in vivo"">",Do we want to add these?,
Twitter card,"<meta name=""twitter:description"" content=""A structural element of mRNA exit channel protein Rps5 performs a critical role in start codon recognition during translation initiation by stabilizing initiator tRNA binding to the pre-initiation complex."">",Do we want to add these?,
,,,
Google Plus,"<meta itemprop=""name"" content=""eLife"">",Do we want to add these?,
Google Plus,"<meta itemprop=""description"" content=""Article: The β-hairpin of 40S exit channel protein Rps5/uS7 promotes efficient and accurate translation initiation in vivo"">",Do we want to add these?,
